 	Area	XM	YM	Circ.	AR	Round	Solidity
1	2	66.000	10.500	1.000	2.000	0.500	1.000
2	20	121.200	12.250	0.994	1.494	0.669	0.930
3	1	198.500	10.500	1.000	1.000	1.000	1.000
4	8	225.375	11.625	1.000	1.229	0.814	0.941
5	1	234.500	10.500	1.000	1.000	1.000	1.000
6	13	273.500	11.346	1.000	1.622	0.617	0.929
7	1	286.500	10.500	1.000	1.000	1.000	1.000
8	4	307.000	11.000	1.000	1.000	1.000	1.000
9	2	319.000	10.500	1.000	2.000	0.500	1.000
10	4	389.000	11.000	1.000	1.000	1.000	1.000
11	7	474.929	10.786	0.647	2.982	0.335	0.824
12	4	513.000	11.000	1.000	1.000	1.000	1.000
13	6	539.000	11.500	1.000	1.500	0.667	1.000
14	3	546.500	10.500	0.967	3.000	0.333	1.000
15	4	566.000	10.500	0.740	4.000	0.250	1.000
16	6	632.500	11.000	1.000	1.500	0.667	1.000
17	1	782.500	10.500	1.000	1.000	1.000	1.000
18	1	891.500	10.500	1.000	1.000	1.000	1.000
19	10	926.500	11.000	0.925	2.500	0.400	1.000
20	1	943.500	10.500	1.000	1.000	1.000	1.000
21	4	1013.000	11.000	1.000	1.000	1.000	1.000
22	4	439.000	12.000	1.000	1.000	1.000	1.000
23	14	590.500	13.000	0.993	1.928	0.519	0.875
24	4	750.000	12.000	1.000	1.000	1.000	1.000
25	4	89.000	13.000	1.000	1.000	1.000	1.000
26	8	367.375	15.375	1.000	1.229	0.814	0.941
27	1	729.500	14.500	1.000	1.000	1.000	1.000
28	4	988.000	16.000	1.000	1.000	1.000	1.000
29	6	98.500	17.000	1.000	1.500	0.667	1.000
30	8	355.000	17.000	1.000	2.000	0.500	1.000
31	8	392.625	18.375	1.000	1.229	0.814	0.941
32	8	710.000	19.000	1.000	2.000	0.500	1.000
33	4	218.000	19.000	1.000	1.000	1.000	1.000
34	2	199.000	19.500	1.000	2.000	0.500	1.000
35	16	288.188	21.562	1.000	1.392	0.718	0.889
36	4	571.000	20.000	1.000	1.000	1.000	1.000
37	12	880.417	22.417	0.555	4.000	0.250	0.727
38	11	922.136	20.409	1.000	1.372	0.729	0.957
39	12	521.000	22.167	1.000	1.281	0.781	0.857
40	10	539.000	21.700	1.000	1.384	0.723	0.909
41	9	231.500	22.500	1.000	1.000	1.000	1.000
42	9	406.500	22.500	1.000	1.000	1.000	1.000
43	10	593.000	22.500	1.000	1.551	0.645	0.909
44	7	718.500	22.500	1.000	1.596	0.626	0.875
45	10	836.000	22.500	1.000	1.551	0.645	0.909
46	6	817.500	23.000	1.000	1.500	0.667	1.000
47	11	383.864	24.591	1.000	1.372	0.729	0.957
48	1	548.500	23.500	1.000	1.000	1.000	1.000
49	13	767.115	25.885	1.000	1.159	0.863	0.897
50	4	340.000	26.000	1.000	1.000	1.000	1.000
