 	Area	XM	YM	Circ.	AR	Round	Solidity
1	3	20.500	10.500	0.967	3.000	0.333	1.000
2	1	49.500	10.500	1.000	1.000	1.000	1.000
3	4	122.000	11.000	1.000	1.000	1.000	1.000
4	1	250.500	10.500	1.000	1.000	1.000	1.000
5	4	274.000	11.000	1.000	1.000	1.000	1.000
6	6	284.500	11.000	1.000	1.500	0.667	1.000
7	13	296.500	11.346	1.000	1.622	0.617	0.929
8	2	329.000	10.500	1.000	2.000	0.500	1.000
9	13	367.346	12.500	1.000	1.622	0.617	0.929
10	4	478.000	11.000	1.000	1.000	1.000	1.000
11	1	512.500	10.500	1.000	1.000	1.000	1.000
12	1	528.500	10.500	1.000	1.000	1.000	1.000
13	10	540.000	11.300	1.000	1.327	0.753	0.909
14	11	669.136	11.409	1.000	1.372	0.729	0.957
15	8	749.625	11.375	1.000	1.229	0.814	0.941
16	4	804.000	11.000	1.000	1.000	1.000	1.000
17	6	879.500	11.000	1.000	1.500	0.667	1.000
18	11	949.864	11.409	1.000	1.372	0.729	0.957
19	4	965.000	11.000	1.000	1.000	1.000	1.000
20	8	1011.375	12.625	1.000	1.229	0.814	0.941
21	14	861.571	14.357	1.000	1.662	0.602	0.966
22	11	923.591	13.864	1.000	1.372	0.729	0.957
23	11	188.136	14.409	1.000	1.372	0.729	0.957
24	9	261.389	14.278	0.799	2.674	0.374	0.750
25	17	427.912	15.382	1.000	1.263	0.792	0.919
26	4	490.000	14.000	1.000	1.000	1.000	1.000
27	13	85.500	16.500	1.000	1.735	0.576	0.929
28	13	467.115	15.885	1.000	1.159	0.863	0.897
29	13	653.885	15.885	1.000	1.159	0.863	0.897
30	2	688.500	15.000	1.000	2.000	0.500	1.000
31	4	730.000	15.000	1.000	1.000	1.000	1.000
32	4	788.000	15.000	1.000	1.000	1.000	1.000
33	4	163.000	16.000	1.000	1.000	1.000	1.000
34	8	309.625	16.375	1.000	1.229	0.814	0.941
35	4	710.000	16.000	1.000	1.000	1.000	1.000
36	4	818.000	16.000	1.000	1.000	1.000	1.000
37	4	132.000	17.000	1.000	1.000	1.000	1.000
38	1	338.500	16.500	1.000	1.000	1.000	1.000
39	1	325.500	17.500	1.000	1.000	1.000	1.000
40	6	353.000	18.500	1.000	1.500	0.667	1.000
41	10	286.000	19.500	1.000	1.551	0.645	0.909
42	6	170.500	20.000	1.000	1.500	0.667	1.000
43	12	630.583	21.250	0.967	1.756	0.570	0.889
44	4	770.000	21.000	1.000	1.000	1.000	1.000
45	4	132.000	22.000	1.000	1.000	1.000	1.000
46	4	20.000	23.000	1.000	1.000	1.000	1.000
47	10	400.000	23.500	1.000	1.551	0.645	0.909
48	8	794.375	23.625	1.000	1.229	0.814	0.941
49	4	939.000	23.000	1.000	1.000	1.000	1.000
50	6	947.000	23.500	1.000	1.500	0.667	1.000
51	8	228.375	24.625	1.000	1.229	0.814	0.941
52	4	410.000	24.000	1.000	1.000	1.000	1.000
53	4	843.000	24.000	1.000	1.000	1.000	1.000
54	4	488.000	25.000	1.000	1.000	1.000	1.000
55	8	535.000	25.000	1.000	2.000	0.500	1.000
56	1	570.500	24.500	1.000	1.000	1.000	1.000
57	6	825.500	25.000	1.000	1.500	0.667	1.000
58	4	892.000	25.000	1.000	1.000	1.000	1.000
59	4	963.000	25.000	1.000	1.000	1.000	1.000
60	4	187.000	26.000	1.000	1.000	1.000	1.000
61	4	385.000	26.000	1.000	1.000	1.000	1.000
62	6	475.500	26.000	1.000	1.500	0.667	1.000
63	12	663.250	26.250	0.883	2.000	0.500	0.889
64	2	703.500	26.000	1.000	2.000	0.500	1.000
65	9	995.500	26.500	1.000	1.000	1.000	1.000
66	1	142.500	26.500	1.000	1.000	1.000	1.000
67	4	340.000	27.000	1.000	1.000	1.000	1.000
68	2	453.500	27.000	1.000	2.000	0.500	1.000
69	10	686.500	27.000	0.925	2.500	0.400	1.000
70	1	78.500	27.500	1.000	1.000	1.000	1.000
71	1	348.500	27.500	1.000	1.000	1.000	1.000
72	13	738.885	29.038	1.000	1.450	0.690	0.897
73	1	309.500	28.500	1.000	1.000	1.000	1.000
74	1	905.500	28.500	1.000	1.000	1.000	1.000
75	5	160.100	30.300	1.000	1.553	0.644	0.909
76	4	557.000	30.000	1.000	1.000	1.000	1.000
77	4	623.000	30.000	1.000	1.000	1.000	1.000
78	4	767.000	30.000	1.000	1.000	1.000	1.000
79	5	977.900	30.300	1.000	1.553	0.644	0.909
80	4	235.000	31.000	1.000	1.000	1.000	1.000
81	1	546.500	30.500	1.000	1.000	1.000	1.000
82	6	327.500	32.000	1.000	1.500	0.667	1.000
83	9	356.500	32.500	1.000	1.000	1.000	1.000
84	13	392.115	33.115	1.000	1.159	0.863	0.897
85	8	421.375	32.375	1.000	1.229	0.814	0.941
86	4	649.000	32.000	1.000	1.000	1.000	1.000
87	4	953.000	32.000	1.000	1.000	1.000	1.000
88	6	429.500	33.000	1.000	1.500	0.667	1.000
89	1	516.500	32.500	1.000	1.000	1.000	1.000
90	4	725.000	33.000	1.000	1.000	1.000	1.000
91	6	206.000	34.500	1.000	1.500	0.667	1.000
92	8	783.375	34.375	1.000	1.229	0.814	0.941
93	4	896.000	34.000	1.000	1.000	1.000	1.000
94	4	596.000	35.000	1.000	1.000	1.000	1.000
95	8	615.625	35.375	1.000	1.229	0.814	0.941
96	1	296.500	35.500	1.000	1.000	1.000	1.000
97	12	254.000	39.000	1.000	1.000	1.000	0.857
98	10	371.500	39.000	1.000	1.551	0.645	0.909
99	10	443.500	39.000	1.000	1.551	0.645	0.909
100	8	580.625	38.375	1.000	1.229	0.814	0.941
101	1	163.500	38.500	1.000	1.000	1.000	1.000
102	4	406.000	39.000	1.000	1.000	1.000	1.000
103	6	551.500	39.000	1.000	1.500	0.667	1.000
104	10	561.500	40.000	1.000	1.551	0.645	0.909
105	8	660.375	39.625	1.000	1.229	0.814	0.941
106	9	61.389	41.722	0.726	2.627	0.381	0.783
107	1	182.500	39.500	1.000	1.000	1.000	1.000
108	21	423.262	41.833	1.000	1.300	0.769	0.933
109	15	484.633	40.967	1.000	1.759	0.569	0.882
110	16	70.688	41.688	1.000	1.314	0.761	0.914
111	12	766.500	42.000	1.000	1.333	0.750	1.000
112	4	857.000	41.000	1.000	1.000	1.000	1.000
113	12	904.000	41.833	1.000	1.281	0.781	0.857
114	4	920.000	41.000	1.000	1.000	1.000	1.000
115	4	48.000	42.000	1.000	1.000	1.000	1.000
116	5	97.100	42.700	1.000	1.553	0.644	0.909
117	6	357.500	42.000	1.000	1.500	0.667	1.000
118	6	626.500	42.000	1.000	1.500	0.667	1.000
119	4	835.000	42.000	1.000	1.000	1.000	1.000
120	12	32.583	43.750	0.967	1.756	0.570	0.889
121	1	199.500	42.500	1.000	1.000	1.000	1.000
122	1	739.500	42.500	1.000	1.000	1.000	1.000
123	4	747.000	43.000	1.000	1.000	1.000	1.000
124	8	894.375	43.375	1.000	1.229	0.814	0.941
125	11	571.591	44.864	1.000	1.372	0.729	0.957
126	1	12.500	44.500	1.000	1.000	1.000	1.000
127	12	319.000	45.500	1.000	1.333	0.750	1.000
128	6	885.500	45.000	1.000	1.500	0.667	1.000
129	10	974.700	46.000	1.000	1.327	0.753	0.909
130	1	222.500	45.500	1.000	1.000	1.000	1.000
131	14	618.000	47.000	1.000	1.319	0.758	0.933
132	8	775.375	47.625	1.000	1.229	0.814	0.941
133	4	868.000	47.000	1.000	1.000	1.000	1.000
