 	Area	XM	YM	Circ.	AR	Round	Solidity
1	14	120.500	11.000	0.718	3.500	0.286	1.000
2	15	356.500	12.500	0.869	2.112	0.474	0.789
3	6	376.500	11.000	1.000	1.500	0.667	1.000
4	4	419.000	11.000	1.000	1.000	1.000	1.000
5	2	477.000	10.500	1.000	2.000	0.500	1.000
6	4	502.000	11.000	1.000	1.000	1.000	1.000
7	6	587.500	11.000	1.000	1.500	0.667	1.000
8	1	846.500	10.500	1.000	1.000	1.000	1.000
9	1	933.500	10.500	1.000	1.000	1.000	1.000
10	4	989.000	11.000	1.000	1.000	1.000	1.000
11	12	99.500	13.000	1.000	1.333	0.750	1.000
12	6	282.000	12.500	1.000	1.500	0.667	1.000
13	1	606.500	11.500	1.000	1.000	1.000	1.000
14	14	620.214	13.000	1.000	1.020	0.981	0.933
15	6	736.000	13.500	1.000	1.500	0.667	1.000
16	3	168.500	13.500	0.967	3.000	0.333	1.000
17	8	405.000	14.000	1.000	2.000	0.500	1.000
18	1	580.500	13.500	1.000	1.000	1.000	1.000
19	1	467.500	14.500	1.000	1.000	1.000	1.000
20	6	486.000	15.500	1.000	1.500	0.667	1.000
21	6	26.000	16.500	1.000	1.500	0.667	1.000
22	10	449.000	16.300	1.000	1.327	0.753	0.909
23	1	666.500	15.500	1.000	1.000	1.000	1.000
24	15	709.900	17.433	1.000	1.295	0.772	0.857
25	10	964.700	17.000	1.000	1.327	0.753	0.909
26	11	1011.409	16.864	1.000	1.372	0.729	0.957
27	4	12.000	17.000	1.000	1.000	1.000	1.000
28	4	109.000	17.000	1.000	1.000	1.000	1.000
29	15	538.900	18.500	0.898	1.800	0.556	0.857
30	6	66.500	18.000	1.000	1.500	0.667	1.000
31	2	678.000	17.500	1.000	2.000	0.500	1.000
32	8	757.375	18.375	1.000	1.229	0.814	0.941
33	4	941.000	18.000	1.000	1.000	1.000	1.000
34	2	995.000	17.500	1.000	2.000	0.500	1.000
35	4	241.000	19.000	1.000	1.000	1.000	1.000
36	9	287.944	20.722	0.832	2.386	0.419	0.947
37	8	317.625	19.625	1.000	1.229	0.814	0.941
38	8	498.375	19.375	1.000	1.229	0.814	0.941
39	1	867.500	19.500	1.000	1.000	1.000	1.000
40	8	922.375	20.375	1.000	1.229	0.814	0.941
41	8	383.625	21.625	1.000	1.229	0.814	0.941
42	4	657.000	21.000	1.000	1.000	1.000	1.000
43	1	186.500	21.500	1.000	1.000	1.000	1.000
44	2	273.000	21.500	1.000	2.000	0.500	1.000
45	1	415.500	21.500	1.000	1.000	1.000	1.000
46	8	687.625	22.375	1.000	1.229	0.814	0.941
47	8	768.375	22.375	1.000	1.229	0.814	0.941
48	1	800.500	21.500	1.000	1.000	1.000	1.000
49	3	86.833	22.833	1.000	1.464	0.683	0.857
50	1	264.500	22.500	1.000	1.000	1.000	1.000
51	6	305.500	23.000	1.000	1.500	0.667	1.000
52	1	787.500	22.500	1.000	1.000	1.000	1.000
